token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
600104378379,600108978379,602115591888,619103179232,672725214482,699247091482,724430221842,7568429893
600105578379,600109378892,603540073910,619103179232,675517441486,694108387450,724430221842,7568429893
600106578379,600109378892,604139973072,619103179232,675517441486,687709556223,726835027041,7568429893
600108878379,600109378892,604139973072,621273179232,677426364919,698730082236,728335027041,7568425184
600108878379,600109478892,615754718966,621423172573,677426364919,694511506575,725277953016,7568415736
600108978379,600109978892,608604040537,621423172573,677426364919,694811506575,726597394563,7568415736
600109378892,600109978892,608603938214,621423172573,678706364919,694811506575,726597394563,7568415736
600109378892,600110578892,608603835891,622422102553,678706359338,697235584132,726597394563,7568415736
600109378892,600111678892,608603733569,622422102553,678754741455,698157801510,726597394563,7568415736
600109978892,600111678892,612279178976,624222102553,678754741455,699706726364,727521531207,7568415736
600109978892,600111678892,612279178976,624222102553,678754741455,699706726364,725942520826,7568415736
600111678892,600111878892,612279178976,627589935146,678854741455,697660330195,721816374858,7568415736
600111678892,600606878892,612279178976,627589935146,678954741455,699938820801,721816374858,7568415736
600111878892,600606878892,616460914356,627589935146,677372115288,699938820801,726547097689,7568415736
600111878892,600606878892,614092641127,627589935146,676150720530,693328492225,727340191149,7568415736
600606878892,604139973072,614092582792,635107894224,675254401386,699323747682,729412299394,7568287658
602115591888,608604040537,618519912407,637197894223,675254401386,697754262990,729695520489,7568287658
615754718966,612893733569,617723179232,637173070358,678613740776,690862807614,729695520489,7631514632
608604040537,612279178976,619103179232,637173070358,684038290552,690862807614,729695520489,7631514632
608603938214,612279178976,619103179232,637173070358,676178575902,697606646505,729531024096,7631514632
608603835891,612279178976,619103179232,635942439933,676178575902,697844824744,728982297530,7631514632
612893733569,612279178976,621423172573,639399130191,674307342526,697884753875,726247553540,7631514632
612279178976,612279178976,621423172573,640540465346,674307342526,697884753875,729424849276,7631514632
612279178976,614279178976,621423172573,640540465346,675306457658,697884753875,729424849276,7631514632
612279178976,616460914356,622422102553,640540465346,675336457658,697884753875,729424849276,8060129935
612279178976,614092641127,622422102553,640540465346,678219057201,697884753875,732800653570,8060129935
612279178976,614092432792,624222102553,638654412544,679101763783,693943929077,727114005310,8060129935
612279178976,614092582792,624222102553,638854412544,679101763783,691452669899,727601657293,8060129935
614092582792,618009037765,627589935146,639202035660,676421686146,695036873283,728359165064,8060127277
614092582792,618009037765,627589935146,642798358461,676521686146,695036873283,728359165064,8060127277
618519912407,615748179232,627589935146,642798358461,676521686146,695036873283,727455396085,8060127277
618519912407,617723179232,628227053936,641786069143,678326337799,697952958806,725293759735,8060127277
618519912407,619103179232,628489555657,641690923993,680126337799,696828140183,728927479691,8060010235
615748179232,621273179232,635107894224,643527127720,673799650125,690932618746,730604973477,8060010235
619103179232,621423172573,637197894223,644327127720,678360678057,691171283309,724512628386,8060007869
621273179232,622422102553,637697894223,643965947198,678360678057,695005361818,727675983325,8098007869
621423172573,624222102553,637173070358,643965947198,678360678057,693042652550,728698165411,8098007869
621423172573,624222102553,637173070358,643965947198,678360678057,698747807049,728698165411,8098007869
622422102553,626389935146,635942279906,647433506309,678855678057,693746072441,728698165411,8098007869
624222102553,627589935146,639399130191,646556578149,681616891265,693746072441,733056270997,8098007869
624222102553,627589935146,640540465346,646556578149,679220073331,693746072441,730288836550,8097880016
627589935146,628227053936,638654412544,642656501414,677262093283,694043573291,725716768107,8097878386
627589935146,628489555657,638854412544,642656501414,680386682229,694043573291,725716768107,8097878386
627589935146,635107894224,639202035660,645451230146,682868507128,692650286486,726716768107,8097878386
628227053936,637197894223,639202035660,647441230146,682868507128,695847745678,726716768107,8097878386
637197894223,637173070358,641786069143,648329920898,684396123226,695847745678,727266339115,8097878386
637197894223,637173070358,641690923993,650528799494,683758434427,697248676288,723534797775,8097878386
637197894223,637173070358,641097127720,650528799494,683758434427,697248676288,719478130162,8097878386
637697894223,635942439933,643527127720,649669121510,684210347019,698025205148,719478130162,8097878386
637173070358,639399130191,643527127720,650290795827,686489738999,693558090744,726472307053,8097878386
635942439933,640540465346,643965947198,647073451330,685891692604,692803134415,726472307053,8117878386
639399130191,638654412544,643965947198,647912941884,685891692604,693033134415,731423823559,8117878386
640540465346,641003584325,647433506309,649918796356,687775567241,691086529983,731423823559,8299732144
640540465346,639202035660,647433506309,649918796356,686763642282,696777649670,731423823559,8299732144
638654412544,639202035660,646556578149,647976646426,683779190766,694636796853,730823192801,8299732144
638854412544,639202035660,646556578149,647976646426,683779190766,695122988940,727797097496,8299732144
639202035660,641786069143,642656501414,649283485317,685889990799,691578677747,726477094796,8299732144
639202035660,641690923993,642656501414,649087019568,685889990799,691578677747,722624762934,8299732144
639202035660,641097127720,645451230146,652566045796,687504492800,693932387904,722624762934,8299732144
642798358461,643527127720,645451230146,652566045796,687504492800,696091618752,722624762934,8299732144
642798358461,643527127720,645451230146,650530943587,687504492800,696091618752,720008041140,8299732144
643527127720,643965947198,646319920898,652734316877,684595747214,696101129361,727868077557,8299732144
643527127720,643965947198,648329920898,652734316877,685303305977,696101129361,727868077557,8299732144
644327127720,643965947198,650528799494,652734316877,687905596100,696101129361,730848077557,8299732144
644327127720,643965947198,650528799494,651272708120,687905596100,696501129361,730848077557,8299732144
643965947198,647433506309,649669121510,652572708120,687905596100,695892531853,730848077557,8299732144
643965947198,646556578149,647073451330,651367065825,687905596100,694481104809,729155070237,8299732144
647433506309,646556578149,647073451330,654855377458,687411797455,695970126643,729212106976,8299732144
646556578149,645451230146,649918796356,657313988434,687411797455,689341645650,731218681222,8299732144
642656501414,647441230146,647976646426,658956735371,687411797455,694425934114,734392477834,8299732144
645451230146,646319920898,649283485317,655877336331,686959838848,690013259765,734404201443,8299732144
647254073898,650528799494,652566045796,658047336331,689146507016,693273668189,734404201443,8299732144
648329920898,650290795827,653363435468,655410104402,692554651473,690917794923,732584323994,8299732144
650528799494,647073451330,653651273066,655410104402,692554651473,690917794923,731569387221,8299732144
650528799494,647073451330,652734316877,655410104402,691804859915,690917794923,730806672626,8299732144
649669121510,647073451330,652734316877,655410104402,692613792810,693323935824,730458609664,8299732144
650290795827,647912941884,652734316877,656385104402,690079658292,693323935824,730458609664,8299732144
647073451330,649406857825,652734316877,658784702390,690479658292,693323935824,730458609664,8299732144
647073451330,649918796356,652572708120,662475015728,690479658292,695591028837,728981710689,8299732144
649797851330,649918796356,652572708120,663080737516,690251719533,696153778688,732037710539,8299732144
649406857825,647976646426,651367065825,662465690663,691410207416,695836374028,729557343134,8299732144
649918796356,649283485317,653213988434,662465690663,689226038593,692987366900,729014492673,8299732144
647976646426,649283485317,657313988434,662465690663,687242511987,688250844906,727038358880,7925827365
647976646426,649087019568,657313988434,662465690663,687083248460,689959813785,727533358880,7925827365
649283485317,652566045796,657313988434,662565690663,691900025819,691721865066,729590478197,7925827365
649283485317,653363435468,658956735371,661694508008,693773131081,694555424794,732034318540,7925827365
652566045796,652734316877,656615803493,660891634842,689042476089,698924232947,729064955168,8425827365
652566045796,652734316877,652667336331,660891634842,691609976089,698924232947,728329708931,8425827365
653651273066,652734316877,658047336331,655961622823,688313931681,695864129359,731015965870,8425827365
652734316877,651272708120,658047336331,655961622823,688260544685,695864129359,730441399629,8425827365
652734316877,652572708120,655410104402,655961622823,689626230369,695864129359,731721399629,8425827365
652734316877,652572708120,655410104402,655961622823,691415474423,692831579003,728617334090,8425827365
652734316877,651367065825,655410104402,655961622823,695344390386,692831579003,726746650674,8425827365
651272708120,651367065825,655410104402,658939517500,693951453718,692931279003,731902887151,8425827365
651367065825,657313988434,662475015728,659139517500,692539269327,692931279003,729161782916,8425827365
654855377458,657313988434,662475015728,659139517500,687982811846,692931279003,733897351240,8425827365
657313988434,658231427580,662465690663,663345001085,683837170131,695510555880,726838242384,8425827365
657313988434,652667336331,662465690663,663362087597,691512623097,694208327497,727394571414,8425827365
658956735371,655877336331,662465690663,666305011383,691512623097,693002549006,724105107536,8425827365
658956735371,658047336331,662465690663,666305011383,691512623097,693002549006,725222512214,8425827365
655877336331,655410104402,662565690663,666305011383,692442623097,683306290936,728599500796,8425827365
658047336331,655410104402,660891634842,662614610768,689722470406,696378438713,728599500796,8425827365
658047336331,655410104402,660891634842,661362610427,690112528497,696295360004,724180129019,8425827365
660147336331,655410104402,660891634842,670762826873,690112528497,689888235134,722869869142,8425827365
655410104402,655410104402,660423039842,670762826873,690112528497,688752921524,722869869142,8425827365
655410104402,656385104402,656721568679,672085094860,694612783414,688752921524,721864913785,8425827365
655410104402,662475015728,655961622823,669732375474,691319416944,696802688589,723420671861,8425827365
655410104402,663080737516,655961622823,668380123548,687982820544,696802688589,728696297753,8425827365
662465690663,662465690663,659139517500,672361545936,687527666394,689939258003,728726773347,8925827365
662465690663,662465690663,659139517500,672361545936,687527666394,689939258003,727779041050,8925827365
662465690663,662565690663,659139517500,672861545936,687624074189,688958263046,725713426856,8925827365
662465690663,662565690663,659139517500,669339944522,689723564239,688958263046,725683426856,8925827365
662465690663,661694508008,661138552595,664665358173,689723564239,689358263046,725683426856,8925827365
660891634842,655961622823,666305011383,669371786872,694225212952,688460136666,727038142495,8925827365
656721568679,655961622823,664039544916,677031422125,684271118369,686727761065,727038142495,8925827365
655961622823,655961622823,662614610768,677031422125,684271118369,692175094078,726713906932,8925827365
655961622823,659139517500,670762826873,675820140534,687870466723,692175094078,725510776399,8925827365
655961622823,659139517500,672085094860,675185241532,687870466723,692175094078,728295483795,8925827365
655961622823,659139517500,672085094860,673178172595,687870466723,695250124445,728380122063,8925827365
659139517500,665665001085,669880123548,678202146896,692721633550,694768108416,729130282516,8925827365
659139517500,663362087597,669880123548,678202146896,691153193557,693385423796,729130282516,8925827365
666305011383,664039544916,664665358173,671617824668,687875457215,693727043946,729409363410,8925827365
666305011383,662614610768,665711026729,670552272671,690317079903,693727043946,729409363410,8925827365
666305011383,661362610427,667970108729,670552272671,685791060255,693727043946,729208244821,8925827365
666305011383,670762826873,672134516065,670552272671,685791060255,691597659869,731712998640,8943827365
666305011383,670762826873,672134516065,673552272671,686091060255,697648685782,733395538511,8943827365
672085094860,669880123548,677031422125,677426364919,688250607460,696139543593,731768748773,8943827365
672085094860,669880123548,677031422125,677426364919,688250607460,696139543593,731966112928,8943827365
672085094860,669880123548,677031422125,678706364919,695989837364,695434397855,731966112928,8943827365
669732375474,669880123548,677031422125,678706359338,694721953945,693900785136,731966112928,8943827365
669880123548,672361545936,675185241532,678754741455,685834311881,689993048416,734069149211,8979584463
669880123548,669339944522,672132584371,678754741455,692769052157,697770210721,734618553553,8979584463
673155069166,669339944522,672132584371,678754741455,692769052157,694909597941,733218036251,8979584463
672361545936,664665358173,672132584371,678854741455,692769052157,694909597941,734215824639,9479584463
