token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
211488134802883,197917417581604,211992509925406,242333286347889,262001889017180,261610229510324,362328869252872,407417188712188
216633985195878,197289385398132,216570834461067,255302887003553,263055889950636,261610229510324,362328869252872,407417188712188
211605717016045,197170889455909,216570834461067,256197443089931,262806370742493,261971448950262,362328869252872,407417188712188
209095231488724,195339774862366,216570834461067,239863187634621,262806370742493,261971448950262,362328869252872,407417188712188
200602440884993,195172950626869,215689493173984,248342843462941,262391556627008,261971448950262,362328869252872,407417188712188
197917417581604,193815688932050,137563184134903,248342843462941,262391556627008,261971448950262,362020055317829,407417188712188
197289385398132,193815688932050,137563184134903,245028195355095,264352621953852,262588368466030,362020055317829,407123070521989
197170889455909,193815688932050,211271455531317,244192481110061,264352621953852,262588368466030,362020055317829,407123070521989
195339774862366,193336316400026,212933857985982,245745473450146,263514559772626,261353433559399,362020055317829,407123070521989
195172950626869,191634073400896,212933857985982,245745473450146,262249842608992,261353433559399,362020055317829,407123070521989
193815688932050,198216342006988,174907308158538,243722953330595,262249842608992,261353433559399,362020055317829,407123070521989
193815688932050,200672501087521,215028594128943,264410841455583,239738396781302,261353433559399,362020055317829,407123070521989
193815688932050,199466077827398,216852898762644,261921925450874,268949147070727,261870153577456,362020055317829,407123070521989
193336316400026,199466077827398,216852898762644,270191296894597,268949147070727,262744762002462,362020055317829,407123070521989
191634073400896,199441855470343,216567902206792,264888386109444,268949147070727,262744762002462,362020055317829,407123070521989
198216342006988,205559311618463,216789295686897,268143646820415,268949147070727,262744762002462,362020055317829,407123070521989
199466077827398,212746369281709,216426184334880,261707215285243,268949147070727,262248812926494,362020055317829,407001432907560
199441855470343,212746369281709,215792766589415,255425831011460,268949147070727,262248812926494,362020055317829,407001432907560
205559311618463,211992509925406,214975744662291,254835584568046,268949147070727,261017098775804,362020055317829,407001432907560
204790503668392,216570834461067,214920240449375,252379944719366,268949147070727,261347714534821,362020055317829,407001432907560
204790503668392,216570834461067,214364541561737,257006627312623,268757939777191,259395579987940,362020055317829,407001432907560
212746369281709,215689493173984,224240473589744,259322182211102,268757939777191,259395579987940,362020055317829,407001432907560
211992509925406,137563184134903,229341976234265,259784331621997,266625445893815,259395579987940,362020055317829,410037967361979
216570834461067,137563184134903,229341976234265,257621888858407,266198749800093,259395579987940,362020055317829,410037967361979
216570834461067,212933857985982,230320053436870,251742262732944,265330202512807,257413185276858,361242561847005,410037967361979
137563184134903,174907308158538,242333286347889,247969623944112,265330202512807,257713329477064,361879864866679,410037967361979
137563184134903,215028594128943,255302887003553,248875383344993,265119575232343,257713329477064,361879864866679,410037967361979
212933857985982,216567902206792,248342843462941,248875383344993,263023526915089,257713329477064,361879864866679,410037967361979
174907308158538,216789295686897,248342843462941,251111047670719,263023526915089,257713329477064,361879864866679,414303057903269
216852898762644,214252575009969,244192481110061,250674270852860,263875228314107,257962848685207,362265101547131,414303057903269
216852898762644,216426184334880,245745473450146,250483703616393,276411184128296,257568334695298,362265101547131,414303057903269
216789295686897,214975744662291,243722953330595,248602280394449,276411184128296,257568334695298,362265101547131,414303057903269
214252575009969,214920240449375,264410841455583,244941207009663,276411184128296,257568334695298,362265101547131,414303057903269
214252575009969,214364541561737,261921925450874,244047245961206,278576278224299,257568334695298,363563295548543,414303057903269
215792766589415,224240473589744,264888386109444,247809743759037,278017650470111,257568334695298,355871475142119,412284336001062
214975744662291,229341976234265,268143646820415,247624361179135,278017650470111,257568334695298,355871475142119,412284336001062
