token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
60119516079,71840956772,98239991107,180213973604,299721593242,326265464647,92276857672,92312451618
62202336603,76893745791,98239991107,180213973604,302199377294,330126167458,92276857672,92312451618
71840956772,89420763907,102337774010,180214973604,309594521166,363270588699,92276857672,92312451618
76893745791,89421263907,104041407156,180214973604,303298413537,372092551581,92276857672,92312451618
80284667709,89421563907,109360207195,180214973604,303298413537,375910208180,92276857672,92312451618
84683826496,89422063907,112940409355,180214973604,303448413537,375910208180,92276857672,92312451618
89420763907,89422063907,112940409355,180214973604,302008710345,395806925279,92276857672,92312451618
89421263907,89422063907,120224002034,180214973604,309861942509,407581151639,92276857672,92312451618
89421563907,89422063907,120802834041,180214973604,308864133886,393039712445,92276857672,92312451618
89422063907,89422063907,121770261871,180214973604,314474338358,393039712445,92276857672,92312451618
89422063907,89422263907,129944676625,180214973604,317290714801,377712991842,92276857672,92312451618
89422063907,89422263907,137853055383,180709973604,312471874273,311550437726,92276857672,92312451618
89422063907,97188221672,150343997878,180709973604,312766069473,302508583974,92276857672,92312451618
89422063907,98239991107,153422867110,180709973604,314434301199,289959097808,92276857672,92312451618
98239991107,102337774010,165930639590,180709973604,315847240792,242831020838,92276857672,92312451618
98239991107,104041407156,180213973604,180709973604,324234331389,241042813056,92326857672,92312451618
98239991107,109360207195,180213973604,180709973604,326999523928,240186485517,92326857672,92312451618
98239991107,112940409355,180213973604,180709973604,326999523928,239271101539,92326857672,92312451618
112940409355,129944676625,180214973604,184228000507,319473251461,218641049064,92326857672,92312451618
116008408458,137853055383,180214973604,184228000507,319473251461,212268646534,92326857672,92312451618
120802834041,150343997878,180214973604,184228000507,319473251461,212368646534,92326857672,92312451618
121770261871,153422867110,180214973604,185661909210,319473251461,223516859670,92326857672,92312451618
137853055383,159998492955,180214973604,185661909210,319473251461,223516859670,92326857672,92312451618
146704923255,159998492955,180214973604,185661909210,319473251461,212226207778,92326857672,92312451618
150343997878,162654144657,180214973604,185661909210,319473251461,212226207778,92326857672,92312451618
153422867110,162654144657,180214973604,185661909210,319473251461,211748603196,92326857672,92312451618
159998492955,165930639590,180214973604,188623640659,319473251461,210332291322,92326857672,92312451618
159998492955,174354781700,180709973604,196768059700,319473251461,207058947051,92326857672,92312451618
159998492955,180213973604,180709973604,196768059700,319473251461,202201073984,92326857672,92312451618
162654144657,180213973604,180709973604,197065059700,319473251461,198871490074,92326857672,92312451618
162654144657,180213973604,180709973604,198650297537,319473251461,197033010079,92326857672,92312451618
165930639590,180213973604,180709973604,226152652943,319473251461,195910893757,92326857672,92312451618
180213973604,180213973604,180709973604,226152652943,319473251461,191132361449,92326857672,92312451618
180213973604,180214973604,180709973604,226449652943,319473251461,173324985170,92326857672,92312451618
180213973604,180214973604,180709973604,226449652943,319473251461,172472050312,92326857672,92312451618
180213973604,180214973604,180709973604,226449652943,319473251461,172672050312,92326857672,92312451618
180214973604,180214973604,184228000507,229964554307,337878341961,137051442992,92326857672,92312451618
180709973604,180709973604,196768059700,230746060307,304976216183,131469732553,92326857672,92312451618
184228000507,185661909210,229717054307,263938758312,305076216183,120083446700,92326857672,92312451618
185661909210,198650297537,230548060307,257999242994,305076216183,120083446700,92326857672,92312451618
226152652943,226449652943,230746060307,257038015513,305584192356,120083446700,92326857672,92312451618
226152652943,226449652943,230746060307,259728438916,309069291382,120083446700,92326857672,92312451618
226152652943,226449652943,230746060307,259074848211,312275398715,120083446700,92326857672,92312451618
226152652943,227952075547,230746060307,255643511530,313951377162,120083446700,92326857672,92312451618
226449652943,229618054307,230746060307,255643511530,321779111598,120083446700,92326857672,92312451618
229618054307,229964554307,239649096985,261907217809,305677591303,119435447863,92326857672,92312451618
229964554307,230548060307,263938758312,268520025322,315018089434,118381158896,92326857672,92312451618
229964554307,230746060307,263938758312,275857519324,306655048182,118381158896,92326857672,92312451618
229964554307,230746060307,263938758312,275569338220,306655048182,117632953150,92326857672,92312451618
230548060307,230746060307,258251973344,278490277524,306755048182,115933631633,92326857672,92312451618
230746060307,230746060307,251431187954,284467800980,306755048182,115742724763,92326857672,92312451618
230746060307,230746060307,259400298055,291375889215,307739979015,115448501567,92326857672,92312451618
263938758312,263938758312,258813176366,288787088338,324421529845,103921046193,92326857672,92312451618
263938758312,258251973344,261907217809,279940936215,324421529845,103128145266,92326857672,92312451618
263938758312,258251973344,261907217809,277396070359,327638289269,102860012919,92326857672,92312451618
263938758312,258251973344,264086779751,279607641614,327638289269,102860012919,92326857672,92312451618
263938758312,251431187954,264086779751,286925364420,327638289269,102860012919,92326857672,92312451618
257999242994,257038015513,278490277524,265065305623,330187777379,101137576270,92326857672,92312451618
259400298055,259074848211,284467800980,269375970197,348443199569,100947308979,92326857672,92312451618
257038015513,255643511530,287030424230,269365842485,349664516208,100947308979,92326857672,92312451618
257038015513,255643511530,291375889215,269365842485,349664516208,100947308979,92326857672,92312451618
255643511530,261907217809,282676402485,275349221059,326841924711,99456676390,92326857672,92312451618
255643511530,261907217809,271658152724,286056766060,326841924711,99456676390,92326857672,92312451618
255643511530,264086779751,271663152724,284832803848,326841924711,99456676390,92326857672,92312451618
258813176366,264086779751,273034392288,284832803848,327704609465,98493869379,92326857672,92312451618
261907217809,268520025322,275511488964,284832803848,333788888298,98493869379,92326857672,92312451618
264086779751,277071047786,288787088338,255432538069,337501628674,99493714542,92326857672,92312451618
268520025322,278490277524,279940936215,264723446484,337501628674,99180484495,92326857672,92312451618
277071047786,278253509116,279607641614,278470931666,337501628674,98331535356,92326857672,92312451618
278490277524,287030424230,289364058471,278470931666,344666848330,94692944657,92326857672,92312451618
278490277524,291375889215,264434116262,282394820117,347545219971,94217699129,92326857672,92312451618
275404196659,291375889215,273131842531,273903844954,347545219971,94217699129,92326857672,92312451618
278253509116,282676402485,265065305623,269021077048,347545219971,94217699129,92326857672,92312451618
287030424230,282676402485,265065305623,273691638379,331491351126,94217699129,92326857672,92312451618
291375889215,271658152724,265065305623,270167686384,331491351126,94217699129,92326857672,92312451618
282676402485,271663152724,265065305623,276735754289,331491351126,94217699129,92326857672,92312451618
282676402485,273034392288,269375970197,283257290941,334991347261,94217699129,92326857672,92312451618
282676402485,275511488964,269365842485,283979349067,333269043895,94217699129,92326857672,92312451618
271658152724,281230738921,269365842485,291546205221,343670371036,94217699129,92326857672,92312451618
271663152724,286644050671,270010563618,268010513298,343537187815,94217699129,92326857672,92312451618
281230738921,281318193079,279704965481,268010513298,317738420616,98430330826,92326857672,92312451618
286644050671,279607641614,284832803848,254377548403,317738420616,97150465659,92326857672,92312451618
288787088338,286925364420,284832803848,254377548403,317738420616,97150465659,92326857672,92312451618
279940936215,289364058471,284832803848,254377548403,317738420616,97895673662,92326857672,92312451618
281318193079,264434116262,284832803848,254377548403,310379348874,97895673662,92326857672,92312451618
277396070359,273131842531,284832803848,254377548403,313565916583,99563368344,92326857672,92312451618
279607641614,265065305623,252927879554,254377548403,319887316526,99050652894,92326857672,92312451618
286925364420,265065305623,255432538069,254377548403,320278725176,99050652894,92326857672,92312451618
289364058471,265065305623,264723446484,254377548403,319716939072,99050652894,92326857672,92312451618
264434116262,265065305623,270073600471,254377548403,318724114709,99050652894,92326857672,92312451618
273131842531,265065305623,270073600471,254377548403,318724114709,99050652894,92326857672,92312451618
265065305623,265065305623,278470931666,254377548403,318724114709,99050652894,92326857672,92312451618
265065305623,269375970197,278470931666,254377548403,318724114709,99050652894,92326857672,92312451618
265065305623,269365842485,278470931666,254377548403,318724114709,99050652894,92326857672,92312451618
265065305623,269365842485,282394820117,254377548403,318724114709,99050652894,92326857672,92312451618
265065305623,270010563618,273903844954,262761008842,318724114709,99050652894,92326857672,92312451618
265065305623,270010563618,269021077048,262761008842,318724114709,99050652894,92326857672,92312451618
266589265849,284832803848,283257290941,262761008842,301658812320,99050652894,92326857672,92312451618
275349221059,284832803848,283979349067,264844588283,301658812320,99050652894,92326857672,92312451618
286056766060,284832803848,291546205221,278163775679,301658812320,99050652894,92326857672,92312451618
284832803848,255432538069,268010513298,283408250562,301658812320,99050652894,92326857672,92312451618
284832803848,264723446484,268010513298,283408250562,301658812320,99050652894,92326857672,92312451618
284832803848,270073600471,268010513298,283408250562,301658812320,99050652894,92326857672,92312451618
284832803848,270073600471,254377548403,283408250562,301658812320,98541216230,92326857672,92312451618
252927879554,278470931666,254377548403,283408250562,301658812320,98541216230,92326857672,92312451618
278470931666,269021077048,254377548403,284054525656,301864628329,98541216230,92326857672,92312451618
278470931666,273691638379,254377548403,288034163382,308735708398,98541216230,92326857672,92312451618
278470931666,273691638379,254377548403,288034163382,316436809150,98541216230,92326857672,92312451618
282394820117,268886809860,254377548403,288034163382,327887137257,98541216230,92326857672,92312451618
269021077048,276735754289,254377548403,297834913838,323966859269,98591216230,92326857672,92312451618
268886809860,291546205221,254377548403,299721593242,341088504691,98591216230,92326857672,92312451618
