token0_value_5s,token0_value_10s,token0_value_30s,token0_value_60s,token0_value_300s,token0_value_600s,token0_value_1800s,token0_value_3600s
60102400000,60103000000,60153600000,60651200000,77991767003,103123060012,122767897282,207254789865
60102400000,60103000000,60153600000,60651200000,77991767003,103123060012,122767897282,207254789865
60103000000,60153000000,60153600000,60651200000,77991767003,103123060012,122767897282,210562581183
60153000000,60153000000,60650600000,60649177104,79828396405,103456060012,122767897282,210095585349
60153000000,60153000000,60651100000,60649177104,79506459178,103456060012,122843897282,210095585349
60153000000,60153000000,60651200000,60649177104,80781521251,103840214385,122805592558,209764549949
60153600000,60650600000,60651200000,60649177104,83238024930,106782725492,122834276773,213377676897
60651100000,60651200000,60649177104,60649177104,83635429733,106147314819,122860858427,214713741501
60651100000,60651200000,60649177104,60649177104,83635429733,102909224629,122860858427,212348269634
60651200000,60651200000,60649177104,60649177104,83635429733,102522174914,122860858427,216032503429
60651200000,60651200000,60649177104,60649177104,83313037919,102634221003,122860858427,216514278362
60649177104,60649177104,60649177104,60649177104,87371576220,101343683659,122882687735,212838917968
60661484161,60661484161,60721484161,65583213492,97132038646,101117297158,122937889630,216115217967
60721484161,60721484161,63354136129,67539495546,99050513280,103512373922,122937889630,215069963204
62321484161,63354136129,64846560081,70942880357,102231654315,106607470162,122937889630,215069963204
62002664729,63354136129,64846560081,71342880357,102791341163,107081935715,122937889630,215069963204
63354136129,65183213492,67865908073,71885985805,102948580245,105708130346,122937889630,215069963204
63423016889,65183213492,67539495546,71969495967,102948580245,105076298691,122937889630,215069963204
63423016889,65583213492,67539495546,71645146830,102948580245,105076298691,122937889630,215069963204
65183213492,64608677666,67687421855,71888190627,102948580245,105225511970,122937889630,215069963204
65583213492,64777371769,67687421855,71888190627,103507836351,105225511970,122937889630,215069963204
65583213492,64777371769,67364845659,72688190627,103507836351,105225511970,122937889630,215069963204
65583213492,64846560081,67364845659,72688190627,103507836351,105225511970,122937889630,215069963204
64777371769,64846560081,67364845659,73235940970,104849350565,106864791855,122937889630,215069963204
64846560081,64846560081,68795757898,72992271733,104849350565,109529129689,122937889630,215069963204
64846560081,64923826487,68795757898,72992271733,104859923935,109529129689,122937889630,215069963204
64846560081,67865908073,70472625502,74273515338,106083473624,109529129689,122937889630,215069963204
67539495546,67687421855,71808882889,75235324243,108232846846,109392039589,124674370509,215069963204
67539495546,67687421855,71808882889,75635324243,106454771395,109185026938,124674370509,215069963204
67220022342,67364845659,71808882889,75635324243,106454771395,108458669919,124674370509,215069963204
67687421855,67364845659,71885985805,75635324243,106454771395,108011446150,123224436454,215069963204
67687421855,67364845659,71969495967,75635324243,106454771395,107554927531,121805468734,215069963204
67364845659,68322789568,72207618267,76502922333,105616106370,107506904511,122397168734,215069963204
67364845659,68795757898,71888190627,76236200211,105616106370,108464877303,121391422645,215069963204
68322789568,69272625502,72688190627,76475224332,108482206370,107936618591,121391422645,215069963204
69272625502,70942880357,72992271733,77756484011,107338094201,106886658523,123291808732,215069963204
70472625502,71342880357,72992271733,77756484011,107338094201,107283892216,123291808732,215069963204
70942880357,71808882889,73073515338,77991767003,104901301709,109063941419,123291808732,215069963204
71342880357,71885985805,74273515338,77991767003,103123060012,109063815799,122305226828,215069963204
71808882889,71645146830,74273515338,77991767003,103123060012,109063815799,121722676968,215069963204
71885985805,71888190627,74273515338,77991767003,103123060012,109891415799,118906997342,215069963204
71969495967,71888190627,74354765030,78473034920,103123060012,110861919414,119728019820,215069963204
71888190627,72688190627,75635324243,79506459178,103123060012,113210880072,120689963966,215069963204
71888190627,73488190627,75635324243,79506459178,103123060012,113210880072,119133855286,215069963204
71888190627,73235940970,76035324243,79981521251,103123060012,113156238440,119133855286,215069963204
71888190627,73235940970,76502922333,80781521251,103123060012,112079471935,119095518265,215069963204
72688190627,72992271733,76502922333,80781521251,103123060012,113419305328,119095518265,215069963204
72688190627,72992271733,76236200211,80781521251,103123060012,113419305328,119095518265,215069963204
72992271733,73073515338,76475224332,82455797774,103123060012,114840677998,119828704454,215069963204
72992271733,74273515338,76875224332,81882140852,103123060012,114937749497,120088307144,215069963204
72992271733,74273515338,76875224332,81564783930,103123060012,114937749497,120088307144,216057963204
73073515338,74273515338,77756484011,81564783930,103123060012,114937749497,117803268319,215074874580
74273515338,75635324243,77991767003,83238024930,103123060012,116415871186,120498276342,216134374580
74273515338,75635324243,77991767003,83238024930,103123060012,116415871186,120498276342,216134374580
75635324243,76716371782,78473034920,83635429733,103123060012,118142455185,122042752010,216134374580
76035324243,76716371782,78628396405,83635429733,103123060012,118142455185,122003160162,216134374580
76502922333,76716371782,79828396405,83635429733,103123060012,118566882706,123835978130,216134374580
76716371782,76875224332,79981521251,83313037919,103123060012,116798671106,122577201984,216134374580
76716371782,76556484011,80781521251,83313037919,103123060012,116798671106,122197200179,216134374580
76875224332,77756484011,80781521251,83794326738,103123060012,116798671106,122197200179,216134374580
